Hora,Precio
1668448800,155.48
1668452400,155.63
1668456000,159.81
1668459600,148.67
1668463200,115.95
1668466800,107.57
1668470400,110.0
1668474000,93.9
1668477600,90.36
1668481200,89.95
1668484800,87.0
1668488400,87.0
1668492000,92.1
1668495600,103.5
1668499200,117.81
1668502800,114.97
1668506400,101.1
1668510000,95.9
1668513600,94.5
1668517200,93.9
1668520800,93.9
1668524400,95.2
1668528000,105.0
1668531600,127.07
1668535200,145.0
1668538800,150.0
1668542400,154.8
1668546000,152.27
1668549600,131.53
1668553200,105.0
1668556800,90.52
1668560400,87.0
1668564000,85.0
1668567600,84.92
1668571200,84.4
1668574800,84.9
1668578400,89.26
1668582000,116.5
1668585600,124.84
1668589200,126.53
1668592800,111.15
1668596400,111.15
1668600000,100.69
1668603600,96.0
1668607200,96.78
1668610800,102.0
1668614400,111.15
1668618000,111.15
1668621600,120.0
1668625200,121.28
1668628800,121.95
1668632400,121.98
1668636000,110.28
1668639600,86.02
1668643200,49.97
1668646800,28.0
1668650400,14.0
1668654000,10.0
1668657600,10.0
1668661200,28.78
1668664800,54.17
1668668400,89.74
1668672000,92.96
1668675600,89.74
1668679200,78.9
1668682800,75.0
1668686400,70.2
1668690000,69.3
1668693600,70.0
1668697200,80.0
1668700800,89.97
1668704400,102.95
1668708000,127.53
1668711600,131.57
1668715200,135.23
1668718800,138.0
1668722400,131.57
1668726000,126.82
1668729600,112.59
1668733200,109.97
1668736800,112.44
1668740400,112.62
1668744000,113.56
1668747600,118.05
1668751200,119.66
1668754800,144.63
1668758400,237.0
1668762000,128.81
1668765600,123.21
1668769200,120.0
1668772800,120.0
1668776400,107.76
1668780000,90.0
1668783600,85.0
1668787200,87.67
1668790800,107.99
1668794400,107.49
1668798000,110.0
1668801600,110.0
1668805200,105.72
1668808800,105.0
1668812400,87.0
1668816000,63.87
1668819600,51.4
1668823200,50.0
1668826800,50.0
1668830400,50.0
1668834000,50.0
1668837600,51.4
1668841200,59.69
1668844800,60.83
1668848400,52.0
1668852000,49.0
1668855600,25.0
1668859200,22.0
1668862800,33.5
1668866400,43.11
1668870000,47.9
1668873600,51.4
1668877200,99.14
1668880800,118.0
1668884400,120.21
1668888000,123.0
1668891600,121.7
1668895200,114.01
1668898800,110.0
1668902400,94.0
1668906000,79.5
1668909600,65.37
1668913200,63.4
1668916800,65.0
1668920400,66.52
1668924000,89.99
1668927600,98.0
1668931200,100.0
1668934800,102.06
1668938400,100.0
1668942000,95.0
1668945600,88.1
1668949200,89.9
1668952800,78.0
1668956400,66.52
1668960000,99.78
1668963600,110.0
1668967200,121.74
1668970800,150.0
1668974400,157.96
1668978000,134.72
